"prix","produits","régions","Unit","Date","Value"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M1","550"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M2","425"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M3","486.25"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M5","550"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M6","566.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M7","675"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M8","500"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M9","500"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M10","600"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M11","537.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2016M12","516.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M1","558.333333333333"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M2","562.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M3","565"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M4","541.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M5","575"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M6","550"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M7","800"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M8","600"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M10","425"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M11","516.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2017M12","325"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M1","450"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M2","409.090909090909"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M3","398"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M4","400"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M5","533.333333333333"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M6","456.25"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M7","537.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M8","540"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M9","483.333333333333"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M10","450"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M11","483.333333333333"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2018M12","466.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M1","429.166666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M2","391.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M3","550"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M4","601"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M5","535.714285714286"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M6","537.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M7","537.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M8","525"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M9","525"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M10","537.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M11","465.625"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2019M12","420"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M1","421.428571428571"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M2","412.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M3","425"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M4","425"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M7","500"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M8","542.857142857143"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M9","531.818181818182"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M10","491.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M11","500"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2020M12","512.5"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M1","461"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M2","475"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M3","491.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M4","497.222222222222"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M5","566.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M6","566.666666666667"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M7","625"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2021M12","600"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M2","600"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M3","650"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M4","680"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M5","800"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M6","1050"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M10","750"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M11","725"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2022M12","775"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M1","800"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M2","783.333333333333"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M3","850"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M4","783.333333333333"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M5","900"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M6","1000"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M7","950"
"Prix au producteur","Arachide décortiquée","FATICK","FCFA/kg","2023M8","950"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2022M5","725"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2022M6","850"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2022M12","816.666666666667"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M1","912.5"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M2","700"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M3","800"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M4","825"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M5","850"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M6","875"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M7","933.333333333333"
"Prix au producteur","Arachide décortiquée","DIOURBEL","","2023M8","800"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M1","372.5"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M2","376.666666666667"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M3","423.529411764706"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M4","508.823529411765"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M5","533.333333333333"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M6","540"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M7","568.055555555556"
"Prix au producteur","Arachide décortiquée","KAFFRINE","FCFA/kg","2016M8","529.166666666667"
